Using GPU : 2 from 4 devices
Random Seed: 8543
classes:40
num_batch:307.59375
[0: 100/307] train loss: 2.646294 accuracy: 0.312500
[0: 200/307] train loss: 2.701060 accuracy: 0.375000
[0: 300/307] train loss: 2.096122 accuracy: 0.468750
[0: ] [94mtest[0m loss: 2.933227 accuracy: 0.418558
[1: 100/307] train loss: 1.778642 accuracy: 0.500000
[1: 200/307] train loss: 1.881509 accuracy: 0.468750
[1: 300/307] train loss: 1.565144 accuracy: 0.656250
[2: 100/307] train loss: 2.421512 accuracy: 0.406250
[2: 200/307] train loss: 1.524718 accuracy: 0.625000
[2: 300/307] train loss: 1.698905 accuracy: 0.593750
[3: 100/307] train loss: 1.599404 accuracy: 0.437500
[3: 200/307] train loss: 1.630533 accuracy: 0.500000
[3: 300/307] train loss: 1.036309 accuracy: 0.750000
[4: 100/307] train loss: 1.067971 accuracy: 0.593750
[4: 200/307] train loss: 2.189490 accuracy: 0.500000
[4: 300/307] train loss: 1.302998 accuracy: 0.656250
[5: 100/307] train loss: 1.014350 accuracy: 0.656250
[5: 200/307] train loss: 1.438676 accuracy: 0.531250
[5: 300/307] train loss: 1.550190 accuracy: 0.531250
[6: 100/307] train loss: 1.129199 accuracy: 0.593750
[6: 200/307] train loss: 1.383061 accuracy: 0.562500
[6: 300/307] train loss: 1.181430 accuracy: 0.625000
[7: 100/307] train loss: 1.107287 accuracy: 0.687500
[7: 200/307] train loss: 1.051038 accuracy: 0.687500
[7: 300/307] train loss: 0.989585 accuracy: 0.750000
[8: 100/307] train loss: 1.313415 accuracy: 0.718750
[8: 200/307] train loss: 1.318936 accuracy: 0.656250
[8: 300/307] train loss: 1.289568 accuracy: 0.625000
[9: 100/307] train loss: 0.651191 accuracy: 0.812500
[9: 200/307] train loss: 1.189458 accuracy: 0.593750
[9: 300/307] train loss: 0.934882 accuracy: 0.687500
[9: ] [94mtest[0m loss: 1.270423 accuracy: 0.637358
[10: 100/307] train loss: 1.593579 accuracy: 0.562500
[10: 200/307] train loss: 1.694687 accuracy: 0.562500
[10: 300/307] train loss: 0.961214 accuracy: 0.718750
[11: 100/307] train loss: 1.460677 accuracy: 0.562500
[11: 200/307] train loss: 1.148460 accuracy: 0.656250
[11: 300/307] train loss: 1.134694 accuracy: 0.656250
[12: 100/307] train loss: 1.081740 accuracy: 0.593750
[12: 200/307] train loss: 0.834565 accuracy: 0.750000
[12: 300/307] train loss: 0.553214 accuracy: 0.843750
[13: 100/307] train loss: 1.145838 accuracy: 0.593750
[13: 200/307] train loss: 1.465081 accuracy: 0.531250
[13: 300/307] train loss: 0.811391 accuracy: 0.843750
[14: 100/307] train loss: 1.207844 accuracy: 0.625000
[14: 200/307] train loss: 1.431896 accuracy: 0.593750
[14: 300/307] train loss: 1.104977 accuracy: 0.687500
[15: 100/307] train loss: 0.857330 accuracy: 0.750000
[15: 200/307] train loss: 0.934313 accuracy: 0.812500
[15: 300/307] train loss: 1.166173 accuracy: 0.718750
[16: 100/307] train loss: 1.164208 accuracy: 0.593750
[16: 200/307] train loss: 0.869492 accuracy: 0.750000
[16: 300/307] train loss: 0.679826 accuracy: 0.875000
[17: 100/307] train loss: 0.848916 accuracy: 0.750000
[17: 200/307] train loss: 1.021018 accuracy: 0.687500
[17: 300/307] train loss: 0.350584 accuracy: 0.843750
[18: 100/307] train loss: 0.875729 accuracy: 0.687500
[18: 200/307] train loss: 0.950673 accuracy: 0.750000
[18: 300/307] train loss: 1.044690 accuracy: 0.750000
[18: ] [94mtest[0m loss: 0.801955 accuracy: 0.658428
[19: 100/307] train loss: 0.756219 accuracy: 0.750000
[19: 200/307] train loss: 0.558853 accuracy: 0.812500
[19: 300/307] train loss: 0.621048 accuracy: 0.812500
[20: 100/307] train loss: 0.707159 accuracy: 0.812500
[20: 200/307] train loss: 0.793635 accuracy: 0.750000
[20: 300/307] train loss: 0.651304 accuracy: 0.812500
[21: 100/307] train loss: 0.365511 accuracy: 0.906250
[21: 200/307] train loss: 0.593631 accuracy: 0.875000
