Using GPU : 0 from 4 devices
Random Seed: 8543
classes:40
num_batch:307.59375
Using GPU : 1 from 4 devices
Random Seed: 8543
classes:40
num_batch:307.59375
[0: 100/307] train loss: 2.637680 accuracy: 0.343750
[0: 200/307] train loss: 2.287746 accuracy: 0.406250
[0: 300/307] train loss: 2.082194 accuracy: 0.500000
[0: ] [94mtest[0m loss: 2.114619 accuracy: 0.395057
[1: 100/307] train loss: 1.979439 accuracy: 0.531250
[1: 200/307] train loss: 1.671090 accuracy: 0.500000
[1: 300/307] train loss: 1.671237 accuracy: 0.531250
[2: 100/307] train loss: 1.047393 accuracy: 0.687500
[2: 200/307] train loss: 1.761997 accuracy: 0.562500
[2: 300/307] train loss: 1.660013 accuracy: 0.593750
[3: 100/307] train loss: 1.545194 accuracy: 0.500000
[3: 200/307] train loss: 1.484286 accuracy: 0.500000
[3: 300/307] train loss: 2.108665 accuracy: 0.375000
[4: 100/307] train loss: 0.758616 accuracy: 0.875000
[4: 200/307] train loss: 1.420103 accuracy: 0.500000
[4: 300/307] train loss: 1.290394 accuracy: 0.625000
[5: 100/307] train loss: 1.756129 accuracy: 0.500000
[5: 200/307] train loss: 1.244593 accuracy: 0.593750
[5: 300/307] train loss: 1.021889 accuracy: 0.593750
[6: 100/307] train loss: 0.575301 accuracy: 0.781250
[6: 200/307] train loss: 1.472460 accuracy: 0.656250
[6: 300/307] train loss: 0.746715 accuracy: 0.843750
[7: 100/307] train loss: 1.180487 accuracy: 0.625000
[7: 200/307] train loss: 0.864805 accuracy: 0.718750
[7: 300/307] train loss: 1.154919 accuracy: 0.625000
[8: 100/307] train loss: 1.211366 accuracy: 0.656250
[8: 200/307] train loss: 1.313815 accuracy: 0.593750
[8: 300/307] train loss: 1.149881 accuracy: 0.656250
[9: 100/307] train loss: 1.099501 accuracy: 0.656250
[9: 200/307] train loss: 1.313315 accuracy: 0.531250
[9: 300/307] train loss: 1.158582 accuracy: 0.687500
[9: ] [94mtest[0m loss: 1.587329 accuracy: 0.602512
[10: 100/307] train loss: 0.822369 accuracy: 0.781250
[10: 200/307] train loss: 1.121436 accuracy: 0.718750
[10: 300/307] train loss: 0.973689 accuracy: 0.750000
[11: 100/307] train loss: 0.830769 accuracy: 0.687500
[11: 200/307] train loss: 1.222623 accuracy: 0.687500
[11: 300/307] train loss: 0.899259 accuracy: 0.812500
[12: 100/307] train loss: 1.271762 accuracy: 0.625000
[12: 200/307] train loss: 1.382969 accuracy: 0.593750
[12: 300/307] train loss: 0.882883 accuracy: 0.656250
[13: 100/307] train loss: 0.746738 accuracy: 0.781250
[13: 200/307] train loss: 1.346830 accuracy: 0.562500
[13: 300/307] train loss: 1.229041 accuracy: 0.687500
[14: 100/307] train loss: 1.175592 accuracy: 0.625000
[14: 200/307] train loss: 1.076255 accuracy: 0.656250
[14: 300/307] train loss: 1.358225 accuracy: 0.687500
[15: 100/307] train loss: 0.646434 accuracy: 0.843750
[15: 200/307] train loss: 1.606251 accuracy: 0.500000
[15: 300/307] train loss: 0.909920 accuracy: 0.687500
[16: 100/307] train loss: 1.064300 accuracy: 0.656250
[16: 200/307] train loss: 1.278159 accuracy: 0.625000
[16: 300/307] train loss: 0.557555 accuracy: 0.750000
[17: 100/307] train loss: 0.742420 accuracy: 0.750000
[17: 200/307] train loss: 1.058996 accuracy: 0.625000
[17: 300/307] train loss: 1.194660 accuracy: 0.625000
[18: 100/307] train loss: 0.749487 accuracy: 0.750000
[18: 200/307] train loss: 0.668706 accuracy: 0.750000
[18: 300/307] train loss: 1.095456 accuracy: 0.625000
[18: ] [94mtest[0m loss: 0.407682 accuracy: 0.699757
[19: 100/307] train loss: 0.930588 accuracy: 0.625000
[19: 200/307] train loss: 0.915005 accuracy: 0.718750
[19: 300/307] train loss: 0.689355 accuracy: 0.812500
[20: 100/307] train loss: 0.851180 accuracy: 0.718750
[20: 200/307] train loss: 0.827125 accuracy: 0.812500
[20: 300/307] train loss: 0.985087 accuracy: 0.750000
[21: 100/307] train loss: 0.734718 accuracy: 0.843750
